,quote_date,Dividend,underlying_bid_1545,symbol,expiration,strike,bid_1545,ask_1545,net_change,implied_volatility_1545,volume,Interest_rate,date_diff,expiration_group,Strike_diff,Strike_group
1389,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,27000.00,0.2,0.0,0,0,0.0,6.25,10.0,1_week,0.14685608568092734,plus_10
1390,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,27100.00,0.1,0.0,0,0,0.0,6.25,10.0,1_week,0.14369629340567158,plus_10
1391,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,27200.00,0.1,0.0,0,0,0.0,6.25,10.0,1_week,0.14053650113041571,plus_10
1392,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,27300.00,0.1,0.0,0,0,0.0,6.25,10.0,1_week,0.13737670885515996,plus_10
1393,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,27400.00,0.1,0.0,0,0,0.0,6.25,10.0,1_week,0.1342169165799041,plus_10
1394,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,27500.00,7.05,13.0, -0.75, 41.66,4.0,6.25,10.0,1_week,0.13105712430464822,plus_10
1395,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,27600.00,0.05,0.0,0,0,0.0,6.25,10.0,1_week,0.12789733202939246,plus_10
1396,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,27700.00,0.05,0.0,0,0,0.0,6.25,10.0,1_week,0.1247375397541366,plus_10
1397,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,27800.00,0.1,20.0,0,0,0.0,6.25,10.0,1_week,0.12157774747888073,plus_10
1398,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,27900.00,0.1,18.5,0,0,0.0,6.25,10.0,1_week,0.11841795520362497,plus_10
1399,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,28000.00,11.5,13.85, -2.80, 36.70,7.0,6.25,10.0,1_week,0.1152581629283691,plus_10
1400,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,28100.00,1.0,30.0,0,0,0.0,6.25,10.0,1_week,0.11209837065311334,plus_10
1401,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,28200.00,1.0,30.0,0,0,0.0,6.25,10.0,1_week,0.10893857837785748,plus_10
1402,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,28300.00,1.0,30.0,0,0,0.0,6.25,10.0,1_week,0.10577878610260161,plus_10
1403,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,28400.00,1.0,30.0,0,0,0.0,6.25,10.0,1_week,0.10261899382734585,plus_10
1404,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,28500.00,10.9,15.95,0,0,0.0,6.25,10.0,1_week,0.09945920155208998,mid_point
1405,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,28600.00,1.0,40.0,0,0,0.0,6.25,10.0,1_week,0.09629940927683422,mid_point
1406,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,28700.00,1.0,40.0,0,0,0.0,6.25,10.0,1_week,0.09313961700157836,mid_point
1407,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,28800.00,1.0,40.0,0,0,0.0,6.25,10.0,1_week,0.08997982472632249,mid_point
1408,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,28900.00,1.6,21.5, -448.50, 31.17,7.0,6.25,10.0,1_week,0.08682003245106673,mid_point
1409,2019-05-27, 0.40,31647.65,BANKNIFTY,2019-06-06,29000.00,18.55,19.0, -2.00, 29.77,913.0,6.25,10.0,1_week,0.08366024017581086,mid_point
